Building SF,Year Built,Building Tax Expenses,Coverage,Improvement Ratio,Distance_to_Nearest_Port,Latitude,Longitude,distance_public_transport,distance_to_highway,distance_to_nearest_airport,distance_to_nearest_rail,distance_to_nearest_dc,distance_to_residential,Market Asking Rent Growth,Vacancy Rate,Sales Volume Transactions,Market Cap Rate,Under Construction SF,Net Absorption SF,Population,Industrial Employment,Under Construction SF Growth,Population Growth,Industrial Employment Growth,Secondary Type,Building Class,Sale Quarter,Sale Price
229608,2015.0,844957.4400000001,0.508790512362558,72.57,24.282722725054143,34.0530928,-117.9937479,0.2927228507263336,0.5102879944362254,18.583612961637087,3.269091149658706,15.336714475270323,0.4740297632377961,0.017,0.028999999999999998,225.0,0.05,5076206.0,-2986670.0,10031160.0,494737.0,-0.0021658518773335776,-1.4921138943774226e-05,-1.1286180385062795e-05,Food Processing,A,2020Q1,61035224.0
39300,1980.0,74670.0,0.225550964187328,48.05,35.42836472603699,34.010703,-117.681661,0.581571252898572,1.3680697026507218,5.562951573155472,15.904755622224224,4.032082288329034,0.3299952546831865,0.021,0.042,121.0,0.049,22027266.0,8104857.0,4593484.0,213701.0,-0.0004605282760264584,1.6024386547714987e-05,4.446428991093043e-05,Manufacturing,C,2020Q1,6500000.0
107359,1960.0,101991.05,0.98584940312213,7.09,13.0781990007621,33.9236435,-118.1149328,0.1128659854040976,0.6046818774167986,7.59851409301932,6.265099334363968,8.56288638350839,0.2495351693214788,0.017,0.028999999999999998,225.0,0.05,5076206.0,-2986670.0,10031160.0,494737.0,-0.0021658518773335776,-1.4921138943774226e-05,-1.1286180385062795e-05,Truck Terminal,C,2020Q1,6240000.0
6370,1980.0,30066.4,0.384824503111219,38.01,7.176407755854897,33.8164632,-118.3439393,0.2323768718671001,3.259302146884244,9.389390539766978,7.1455278800615725,12.677211790349954,0.1164603908673303,0.017,0.028999999999999998,225.0,0.05,5076206.0,-2986670.0,10031160.0,494737.0,-0.0021658518773335776,-1.4921138943774226e-05,-1.1286180385062795e-05,Warehouse,C,2020Q1,2700000.0
4670,2004.0,18960.2,0.335031207403687,50.81,41.74279154290897,33.4577009,-117.5844303,2.2863995336774874,2.451847581049276,22.21461954251375,43.27227029645269,30.36504043203502,0.5138912649952397,0.016,0.031,103.0,0.051,1024564.0,611536.0,3187916.0,266602.0,0.0013596968275773368,-7.590589926853575e-07,2.391283096335517e-05,Warehouse,C,2020Q1,1580000.0
3980,1963.0,16517.0,0.30568356374808,57.12,10.88524790401207,33.9071,-118.17083,0.155704248591356,0.3196423822482946,6.261101815405952,6.034768477644483,6.738682390286798,0.2255095990301641,0.017,0.028999999999999998,225.0,0.05,5076206.0,-2986670.0,10031160.0,494737.0,-0.0021658518773335776,-1.4921138943774226e-05,-1.1286180385062795e-05,Warehouse,C,2020Q1,1166000.0
5000,,13350.0,0.0171576028769868,58.82,76.3180306278783,37.6253794,-120.8996503,2.6721461239680453,3.891160332825687,26.22107779950394,24.763032268591093,29.865340812034347,0.7108405070103033,0.011000000000000001,0.042,19.0,0.066,1560.0,-17136.0,552795.0,32389.0,0.0005405405405405395,3.637390199675572e-06,6.244563191251329e-05,Manufacturing,C,2020Q1,900000.0
3400,1982.0,11254.0,0.130088766452403,9.67,105.9403124598798,32.5962407,-117.0156449,0.5966308256901968,1.2232518848827527,13.875096576430362,102.3424085923756,3.742757105629273,0.6474139556868838,0.015,0.057,79.0,0.059000000000000004,1402497.0,-199514.0,3299437.0,203454.0,0.001227826496286204,-2.8185832527616304e-07,1.3140604467805072e-05,Manufacturing,C,2020Q1,895000.0
8730,1945.0,9341.1,0.105480643758156,53.9,89.21789167488521,38.9799547,-121.3775552,,,22.742882592666604,71.78444983083644,28.193114133057477,,0.017,0.051,73.0,0.071,3636044.0,-457648.0,2394236.0,112215.0,0.0016328988218793116,1.5305928234061738e-05,0.00026735472537124937,,C,2020Q1,838000.0
957,1940.0,4641.45,0.183087813277214,35.71,17.583190395190186,34.0082242,-118.2345292,0.2382640299693623,1.1658439703136854,10.994626686309736,2.86656756268568,1.9656137232742517,0.3268554136736799,0.017,0.028999999999999998,225.0,0.05,5076206.0,-2986670.0,10031160.0,494737.0,-0.0021658518773335776,-1.4921138943774226e-05,-1.1286180385062795e-05,Service,C,2020Q1,329000.0
72406,1985.0,139019.52,0.510822327576476,39.58,29.63966223177072,34.1130512,-117.9331914,0.0815940580230157,1.1166881815939158,19.452226840971683,6.867590759289786,16.547439603846282,0.6461902559426391,0.017,0.028999999999999998,225.0,0.05,5076206.0,-2986670.0,10031160.0,494737.0,-0.0021658518773335776,-1.4921138943774226e-05,-1.1286180385062795e-05,Warehouse,C,2020Q1,9750000.0
12366,1961.0,33140.880000000005,0.430121739130435,36.5,15.488227136846346,33.867647,-117.983782,0.0953380757094724,0.5390688340865597,10.241493956921037,10.305522485130032,17.031017993478795,0.1786180665013243,0.016,0.031,103.0,0.051,1024564.0,611536.0,3187916.0,266602.0,0.0013596968275773368,-7.590589926853575e-07,2.391283096335517e-05,Manufacturing,C,2020Q1,2721000.0
10650,1964.0,24388.5,0.548177887584929,68.84,29.653472134730947,34.139975,-117.989786,0.0709931274797162,0.36637335187276,21.44128365373104,8.749213519361483,18.344650501292687,0.2193191387200561,0.017,0.028999999999999998,225.0,0.05,5076206.0,-2986670.0,10031160.0,494737.0,-0.0021658518773335776,-1.4921138943774226e-05,-1.1286180385062795e-05,Warehouse,C,2020Q1,1580000.0
4680,2005.0,5101.200000000001,0.73125,76.92,64.2213457612304,38.485007,-121.3933477,0.7579133269042256,1.7207495366686512,18.0264184434244,37.93942755701607,8.62352635168674,0.3562924304580487,0.017,0.051,73.0,0.071,3636044.0,-457648.0,2394236.0,112215.0,0.0016328988218793116,1.5305928234061738e-05,0.00026735472537124937,Warehouse,B,2020Q1,450000.0
1000,1956.0,6370.0,0.0521757278514035,40.29,58.29438587261767,38.752973,-122.6153127,0.0354459232383446,,55.50688149022251,58.06671198824098,61.75849783679421,0.5807840523706788,,,,,,,,,,,,Warehouse,C,2020Q1,350000.0
